edge_id,source,source_label,source_type,target,target_label,target_type,predicate,layer,assertion_count,source_count,source_ids,population,care_setting
edge:5ce2d75a3e14,concept:222e14394aeb,rhabdomyolysis,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,19,0,,,
edge:679aca6a5a88,concept:42b89a6b7380,vancomycin,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,19,0,,,
edge:3ca3db59686e,concept:a5e582c4947e,severe acute kidney injury,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,18,0,,,
edge:4585094e0037,concept:c324fd366ebb,Serum creatinine,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,18,0,,,
edge:5c45e3e9a7d9,concept:222e14394aeb,rhabdomyolysis,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,18,0,,,
edge:6f4eeeeabd42,concept:0b6baed8ee51,neonates,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,18,0,,,
edge:945a86f992a4,concept:6670fd44fff1,neonatal AKI,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,18,0,,,
edge:689c25c9c9ce,concept:9462d97142c0,Chronic kidney disease,clinical_concept,population:0fd3b2c23bfc,Pediatric age unclear,population,Observed in population,population_context,17,0,,,
edge:894168b92a21,concept:16501326ecd5,CSA-AKI,clinical_concept,setting:04a3a8cdc90f,Cardiac surgery,care_setting,Observed in care setting,care_setting_context,17,0,,,
edge:c0fc5cc7347b,concept:989fe9aa79c0,NGAL,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,17,0,,,
edge:7412a142a0f0,concept:29166f0942dc,fluid overload,clinical_concept,setting:009f0c0461ec,PICU,care_setting,Observed in care setting,care_setting_context,16,0,,,
edge:b3ac5134f607,concept:186238cccd6f,Sepsis,clinical_concept,relation:a62d286204b7,Risk factor,relation,Participates in relation,relation_context,16,0,,,
edge:e9b6bcfa9739,concept:faa0eb06e45f,MIS-C,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,15,0,,,
edge:f71a955b6a9b,concept:daa4e10d4f1f,Peritoneal dialysis,clinical_concept,setting:009f0c0461ec,PICU,care_setting,Observed in care setting,care_setting_context,15,0,,,
edge:f76ba7a165b4,concept:989fe9aa79c0,NGAL,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,15,0,,,
edge:15b51bbb7ef6,concept:5968f4edfd74,CS-AKI,clinical_concept,population:0fd3b2c23bfc,Pediatric age unclear,population,Observed in population,population_context,14,0,,,
edge:5e9cb88065d6,concept:97538d771d18,uNGAL,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,14,0,,,
edge:8b8f2f593ab2,concept:90eace7f13ff,Kidney replacement therapy,clinical_concept,setting:009f0c0461ec,PICU,care_setting,Observed in care setting,care_setting_context,14,0,,,
edge:8e3e4529ab2a,concept:1cc152716766,severe AKI,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,14,0,,,
edge:af75d2aac1f1,concept:4a168b54caad,postoperative AKI,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,14,0,,,
