source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,semantic_auroc,semantic_average_precision,delta_auroc_vs_semantic
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,29267,0.14128540677213244,0.652195334871299,0.2091044649561455,0.1171849798174208,0.017728098120031104,-0.05868434265163769,1.044954829023819,0.15907468765974045,0.7673518742442563,0.4518939996816807,0.18721973094170405,0.9219092458803474,0.5261352826122812,0.1532241877051416,0.12606005225901784
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,25005,0.16400719856028795,0.5897099365215078,0.2102612386195416,0.13565512046301711,0.01932072461074506,0.0639040621988528,1.1369396375345433,0.17130187749862671,0.7627407949280663,0.3579697665518561,0.18901444196023928,0.8849337748344371,,,
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,28114,0.0058689620829479976,0.7306083483227568,0.04962763535827655,0.005792450810520921,0.00335696304840822,1.1870421646791889,1.0779176838948124,0.0024542232509702448,0.6181818181818182,0.7071451572507066,0.012308434898033065,0.9968225147526101,,,
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,29267,0.12157036935797998,0.7679497587813762,0.38443824930231196,0.0917070274005809,0.014910704081347724,-0.1687235078720105,0.9879506850420875,0.14192495465278632,0.6396852164137156,0.7528491967793379,0.2637311703360371,0.9378785676212628,0.6607671145580587,0.2364162706129881,0.10718264422331747
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,29262,0.0815733716082291,0.8058624370378309,0.3574433936899281,0.06372834608460136,0.015373933497124025,-0.11885195802296486,1.0591897079232837,0.10889396727085113,0.6740678676162547,0.7801674418604652,0.21404815750964482,0.964221660151759,0.6611286406017088,0.1758435844924438,0.14473379643612205
MIMIC-III,eICU,kdigo_lookup,next_aki_progression,18776,0.10827652322113336,0.6708978730831385,0.15600829129355737,0.09255302296802138,0.024242845675103243,-0.822912163528578,0.5861278729419298,0.18858011900845856,0.9611411706837186,0.37418622707997373,0.15717503217503218,0.987547288776797,0.4953042169666665,0.1085231288595059,0.17559365611647204
MIMIC-III,eICU,kdigo_lookup,next_aki_stage2_onset,12432,0.15717503217503218,0.5,0.15717503217503218,0.1334622725554157,0.03148382314151099,-0.5369051114348267,0.7832093788332168,0.18865885531654314,1.0,0.0,0.15717503217503218,0.0,,,
MIMIC-III,eICU,kdigo_lookup,next_aki_stage3_onset,15989,0.010319594721370942,0.3705024205656157,0.00854645047214939,0.010269064292674627,0.007480608188167407,-0.12906865415880417,0.7565184584401036,0.0028383828305597937,1.0,0.0,0.010319594721370942,0.0,,,
MIMIC-III,eICU,kdigo_lookup,hospital_death,18776,0.12457392415850022,0.4466173368808414,0.11437363687936936,0.1093458537946885,0.01658033312744969,-0.45779461273811006,0.8261494906635716,0.14096903180835152,1.0,0.0,0.12457392415850022,0.0,0.632548679850668,0.2095761306386272,-0.1859313429698266
MIMIC-III,eICU,kdigo_lookup,icu_death,18774,0.07750079897730905,0.4420435693353882,0.07063725352857723,0.07188749677780609,0.019695347528498504,-0.4150413774903482,0.9248701668694028,0.09712800511248466,1.0,0.0,0.07750079897730905,0.0,0.6204510311758593,0.1412678030200153,-0.17840746184047113
MIMIC-III,eICU,state_logistic,next_aki_progression,18776,0.10827652322113336,0.7135219220319192,0.18930911006285958,0.09175953150286387,0.01943911399083585,-0.1840516388982675,0.9680130134157049,0.14653354823589326,0.7073290703394,0.5912918831750582,0.17365052529887695,0.9433063363506432,0.4953042169666665,0.1085231288595059,0.21821770506525273
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,12432,0.15717503217503218,0.5697049264208696,0.18985355839906476,0.13213842066402473,0.02525802429656389,-0.4885611875279748,0.7741069189401188,0.16170141100883484,0.7139201637666326,0.37411719793853787,0.17540550735571483,0.8751953561062737,,,
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,15989,0.010319594721370942,0.6821485200845666,0.029542981266382533,0.01023586343081362,0.007022216516643363,2.109569143232965,1.1733843860592412,0.006752368877641854,0.24242424242424243,0.9242922143579373,0.03231017770597738,0.9915259982374076,,,
MIMIC-III,eICU,state_logistic,hospital_death,18776,0.12457392415850022,0.7350322111635489,0.3476158964785398,0.09633106095123088,0.007543914979855478,0.04125106470683802,0.9795425322634936,0.14211429953575133,0.5352714835399743,0.7999634969885016,0.2757709251101322,0.923644282101714,0.632548679850668,0.2095761306386272,0.1024835313128809
MIMIC-III,eICU,state_logistic,icu_death,18774,0.07750079897730905,0.764604949890165,0.30758800206824716,0.06258189696059037,0.004845066792640689,-0.015321668951039657,1.009526567774401,0.11501110821962357,0.5415807560137457,0.8475662567122814,0.22987164527421236,0.9565359051218558,0.6204510311758593,0.1412678030200153,0.14415391871430572
MIMIC-III,eICU,state_xgboost,next_aki_progression,18776,0.10827652322113336,0.7297779171884652,0.20611272190749552,0.09071063381421894,0.012757645554552482,0.12840956557747393,1.1297093304424506,0.15907468765974045,0.6566650270536154,0.6569312548527743,0.18858595846871026,0.94032657946482,0.4953042169666665,0.1085231288595059,0.2344737002217987
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,12432,0.15717503217503218,0.5922459408541911,0.20585102250389492,0.13091756030388157,0.017675890675368337,-0.03512379726577217,1.0499185698208602,0.17130187749862671,0.6704196519959058,0.4681236877266654,0.1903239866337353,0.8839430528023067,,,
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,15989,0.010319594721370942,0.6180048717713025,0.02451963579127278,0.010224149715103922,0.0069556758915603,-1.3414785664335191,0.5465693721574351,0.0024542232509702448,0.5393939393939394,0.6487613751263903,0.015760580839383743,0.9926513246954167,,,
MIMIC-III,eICU,state_xgboost,hospital_death,18776,0.12457392415850022,0.7725505260696762,0.3958270505812997,0.09241717826808535,0.009441693991029414,-0.09044538902300711,0.960800680475427,0.14192495465278632,0.6117999144933732,0.7946705603212265,0.29775280898876405,0.9350035790980673,0.632548679850668,0.2095761306386272,0.14000184621900824
MIMIC-III,eICU,state_xgboost,icu_death,18774,0.07750079897730905,0.7982527581788985,0.35093538150991704,0.06051058260293958,0.010278811051257376,-0.14948457932490916,0.9987075838689874,0.10889396727085113,0.6130584192439863,0.8290316992897974,0.23150791590968076,0.9622679445077408,0.6204510311758593,0.1412678030200153,0.1778017270030392
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_progression,20108,0.1643624428088323,0.5642266802187456,0.184132689691489,0.13495822747675185,0.024812439417677468,0.5396584620859894,1.2001180311728956,0.15583402294092957,0.994553706505295,0.1336666071534845,0.1842075767765075,0.9920494699646644,0.5383499524569806,0.1780083011106006,0.025876727761764973
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_stage2_onset,17844,0.1842075767765075,0.5,0.1842075767765075,0.15108220445040388,0.028408784130428466,-0.38596941238361293,0.6522209470813803,0.15579879264607904,1.0,0.0,0.1842075767765075,0.0,,,
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_stage3_onset,19389,0.004848109752952705,0.44382515589420696,0.0043719171756704586,0.004826448378858445,0.001357208696035019,-0.1988974455761563,1.0096266742441398,0.006204657470206522,1.0,0.0,0.004848109752952705,0.0,,,
MIMIC-IV,MIMIC-III,kdigo_lookup,hospital_death,20108,0.13412572110602744,0.5078404250382585,0.1359731343076517,0.11616782505477417,0.006198954179939819,-0.9988105830413977,0.45769883201918693,0.13199461981859545,0.9388209121245829,0.07926023778071334,0.1364003663200991,0.8932038834951457,0.651833860629663,0.2433586637773544,-0.14399343559140443
MIMIC-IV,MIMIC-III,kdigo_lookup,icu_death,20108,0.09563357867515417,0.5083238930327079,0.09709352031690323,0.08664218264528065,0.01231846625884453,-1.5182493352417545,0.3080275762185371,0.08654013514223706,0.9391575663026521,0.07852625790486664,0.09729030867855411,0.9242718446601942,0.6350828451614832,0.1773946063560458,-0.1267589521287753
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,20108,0.1643624428088323,0.6299773210658749,0.2242134877392561,0.13343059603998325,0.024024105750310373,0.3855578403396215,1.126861496038791,0.1274210247397423,0.8314674735249622,0.35142534071296794,0.2013776930968782,0.9138037759207676,0.5383499524569806,0.1780083011106006,0.09162736860889431
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,17844,0.1842075767765075,0.5768577679145913,0.22496828970926147,0.1494769659822338,0.02621131775972956,0.7136791902748569,1.320519101752266,0.16955165445804596,0.4493459081229084,0.6572782853609948,0.22842561088772037,0.8409210757602391,,,
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,19389,0.004848109752952705,0.7703710034018293,0.03647080243036534,0.004763129211742534,0.0026411047985381844,-1.1773926853217962,0.7655668412453255,0.007605259139090784,0.5,0.8454003627882871,0.015511551155115511,0.9971269637508405,,,
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,20108,0.13412572110602744,0.6976654745878862,0.3245291444255423,0.10561423766017254,0.01169040899350276,-0.0699400016536969,0.9227985932524909,0.1122318921983242,0.6366332962550982,0.6416633162942967,0.21581196581196582,0.9193548387096774,0.651833860629663,0.2433586637773544,0.045831613958223216
MIMIC-IV,MIMIC-III,state_logistic,icu_death,20108,0.09563357867515417,0.7285865600145038,0.2911556652435313,0.07809045197829251,0.01272737287200382,-0.09481056174147508,0.8709357955274689,0.10975804388523103,0.5174206968278731,0.8149023920813857,0.22815867920201788,0.9410681399631676,0.6350828451614832,0.1773946063560458,0.09350371485302067
MIMIC-IV,MIMIC-III,state_xgboost,next_aki_progression,20108,0.1643624428088323,0.6513778021952891,0.24024363774953156,0.13226544136884863,0.023197684527260135,0.426716097634203,1.1573810356132315,0.14001298248767854,0.7767019667170953,0.436648217580194,0.21333000914152747,0.9086068111455108,0.5383499524569806,0.1780083011106006,0.11302784973830848
MIMIC-IV,MIMIC-III,state_xgboost,next_aki_stage2_onset,17844,0.1842075767765075,0.6034967312386698,0.24480041789629753,0.14799579188876413,0.0251906954503195,0.5152912187167271,1.2104142444648904,0.16519103646278382,0.5850319440219045,0.5502507384763344,0.2270365997638725,0.8544911457222104,,,
