source_database,target_database,model,endpoint,cluster_unit,n_clusters,bootstrap_reps,auroc_lo,auroc_hi
eICU,MIMIC-IV,kdigo_lookup,next_aki_stage2_onset,patient,25122,1000,0.5,0.5
eICU,MIMIC-IV,kdigo_lookup,next_aki_stage3_onset,patient,25122,1000,0.4198783111732545,0.4820078049868726
eICU,MIMIC-IV,kdigo_lookup,hospital_death,patient,25122,1000,0.5061701796992946,0.517798200352699
eICU,MIMIC-IV,kdigo_lookup,icu_death,patient,25122,1000,0.5046792777781856,0.5184220938877572
eICU,MIMIC-IV,state_logistic,next_aki_progression,patient,25122,1000,0.6178833348605992,0.6336442572882078
eICU,MIMIC-IV,state_logistic,next_aki_stage2_onset,patient,25122,1000,0.5477469537913833,0.5659903456570146
eICU,MIMIC-IV,state_logistic,next_aki_stage3_onset,patient,25122,1000,0.7534601530775441,0.830393638299043
eICU,MIMIC-IV,state_logistic,hospital_death,patient,25122,1000,0.7023710042368334,0.7217892346900276
eICU,MIMIC-IV,state_logistic,icu_death,patient,25122,1000,0.7357607705914044,0.7578370966395124
eICU,MIMIC-IV,state_xgboost,next_aki_progression,patient,25122,1000,0.6317603034317665,0.6482735619512657
eICU,MIMIC-IV,state_xgboost,next_aki_stage2_onset,patient,25122,1000,0.5647903196154044,0.584730006274708
eICU,MIMIC-IV,state_xgboost,next_aki_stage3_onset,patient,25122,1000,0.6598520204752187,0.7428104055160708
eICU,MIMIC-IV,state_xgboost,hospital_death,patient,25122,1000,0.732995326940522,0.7497862465945867
eICU,MIMIC-IV,state_xgboost,icu_death,patient,25122,1000,0.7663936726786656,0.7874453869391509
