source_database,target_database,model,endpoint,bin_mean_prediction,bin_event_rate,n
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,0.058299572966478495,0.04818865345181134,2926
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,0.07806099604710845,0.06971975393028025,2926
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,0.11265343563887084,0.09637730690362269,2926
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,0.1827532273200955,0.14456596035543404,2926
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,0.38705488632655527,0.3460881448582166,2927
MIMIC-III,eICU,kdigo_lookup,next_aki_progression,0.0022453293060243763,0.012452711223203027,6344
MIMIC-III,eICU,kdigo_lookup,next_aki_progression,0.18858011900845859,0.15717503217503218,12432
MIMIC-III,eICU,kdigo_lookup,next_aki_stage2_onset,0.18865885531654317,0.15717503217503218,12432
MIMIC-III,eICU,kdigo_lookup,next_aki_stage3_onset,0.0028389865332035347,0.010319594721370942,15989
MIMIC-III,eICU,kdigo_lookup,hospital_death,0.14101666654248304,0.13693409553847163,15219
MIMIC-III,eICU,kdigo_lookup,hospital_death,0.14174295380684446,0.07168962608940119,3557
MIMIC-III,eICU,kdigo_lookup,icu_death,0.0971299753518918,0.08654225259561046,15218
MIMIC-III,eICU,kdigo_lookup,icu_death,0.09747932778260447,0.03880764904386952,3556
MIMIC-III,eICU,state_logistic,next_aki_progression,0.01606656476077688,0.0,1878
MIMIC-III,eICU,state_logistic,next_aki_progression,0.0181741583566712,0.0154419595314164,1878
MIMIC-III,eICU,state_logistic,next_aki_progression,0.022180739186851026,0.017581246670218435,1877
MIMIC-III,eICU,state_logistic,next_aki_progression,0.06138176701593989,0.09424920127795527,1878
MIMIC-III,eICU,state_logistic,next_aki_progression,0.1173997437725311,0.11987213638785296,1877
MIMIC-III,eICU,state_logistic,next_aki_progression,0.1440320446833381,0.11554845580404687,1878
MIMIC-III,eICU,state_logistic,next_aki_progression,0.16681255589124683,0.14437932871603623,1877
MIMIC-III,eICU,state_logistic,next_aki_progression,0.18763684601988148,0.16666666666666666,1878
MIMIC-III,eICU,state_logistic,next_aki_progression,0.212008855764575,0.20245071923281832,1877
MIMIC-III,eICU,state_logistic,next_aki_progression,0.26079009048029766,0.2066027689030884,1878
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,0.10848128883964667,0.13263665594855306,1244
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,0.13313727468036396,0.11423974255832663,1243
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,0.14794713179622077,0.12308930008045052,1243
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,0.16043453865586416,0.12872083668543846,1243
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,0.1718503914935303,0.12791633145615447,1243
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,0.18251251883067532,0.16170555108608206,1243
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,0.1930744313992326,0.16975060337892195,1243
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,0.2050252983935495,0.19790828640386163,1243
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,0.22038810306370307,0.21399839098954143,1243
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,0.2531326035355065,0.20176848874598072,1244
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,0.0012301054210626312,0.0025015634771732333,1599
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,0.0014117711486197016,0.00375234521575985,1599
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,0.0017036446860890656,0.008130081300813009,1599
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,0.0020798287959274296,0.0068792995622263915,1599
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,0.0024585620208344584,0.005628517823639775,1599
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,0.002887065134807321,0.008760951188986232,1598
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,0.00348918213569597,0.008755472170106316,1599
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,0.004465560379873185,0.013758599124452783,1599
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,0.005654191589559556,0.0150093808630394,1599
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,0.007593614128758994,0.0300187617260788,1599
MIMIC-III,eICU,state_logistic,hospital_death,0.029027639431988026,0.03035143769968051,1878
MIMIC-III,eICU,state_logistic,hospital_death,0.03975271364362539,0.041001064962726305,1878
MIMIC-III,eICU,state_logistic,hospital_death,0.049187023031883055,0.06286627597229622,1877
MIMIC-III,eICU,state_logistic,hospital_death,0.05963739086858952,0.07561235356762513,1878
MIMIC-III,eICU,state_logistic,hospital_death,0.07207400677254305,0.08737346830047948,1877
MIMIC-III,eICU,state_logistic,hospital_death,0.08753086322238143,0.08626198083067092,1878
MIMIC-III,eICU,state_logistic,hospital_death,0.1077110901808383,0.10974960042621204,1877
MIMIC-III,eICU,state_logistic,hospital_death,0.13954618291114085,0.14376996805111822,1878
MIMIC-III,eICU,state_logistic,hospital_death,0.19881194265490842,0.19978689397975494,1877
MIMIC-III,eICU,state_logistic,hospital_death,0.3895375256975111,0.40894568690095845,1878
MIMIC-III,eICU,state_logistic,icu_death,0.016467954434803565,0.01437699680511182,1878
MIMIC-III,eICU,state_logistic,icu_death,0.022286956001531587,0.023441662226957913,1877
MIMIC-III,eICU,state_logistic,icu_death,0.027653507451682123,0.03249866808737347,1877
MIMIC-III,eICU,state_logistic,icu_death,0.03378402162640811,0.03407880724174654,1878
MIMIC-III,eICU,state_logistic,icu_death,0.04144084260471018,0.04368673415023974,1877
MIMIC-III,eICU,state_logistic,icu_death,0.051353405954660605,0.05434203516249334,1877
MIMIC-III,eICU,state_logistic,icu_death,0.06556026409434688,0.0670926517571885,1878
MIMIC-III,eICU,state_logistic,icu_death,0.08928314694855909,0.06819392647842301,1877
MIMIC-III,eICU,state_logistic,icu_death,0.13706507887463018,0.1267980820458178,1877
MIMIC-III,eICU,state_logistic,icu_death,0.3123857660796315,0.3104366347177849,1878
MIMIC-III,eICU,state_xgboost,next_aki_progression,0.02311794421039482,0.0,1878
MIMIC-III,eICU,state_xgboost,next_aki_progression,0.02502300049534367,0.009584664536741214,1878
