evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,direction,endpoint_label
external,MIMIC-III,MIMIC-IV,semantic_transformer,next_aki_stage3,29267,0.0450336556531246,0.6952595777774507,0.3062049763637183,0.0359261855483055,0.0039536893609866,M-III → M-IV,AKI stage 3
external,MIMIC-III,MIMIC-IV,semantic_transformer,hospital_death,29267,0.1215703693579799,0.6607671145580587,0.2364162706129881,0.1063221395015716,0.034180806128292,M-III → M-IV,Hospital death
external,MIMIC-III,MIMIC-IV,semantic_transformer,icu_death,29262,0.0815733716082291,0.6611286406017088,0.1758435844924438,0.0752703696489334,0.0230515665420463,M-III → M-IV,ICU death
external,MIMIC-III,eICU,demographic,next_aki_progression,18776,0.1082765232211333,0.4901362629790092,0.1045196569562136,0.1003727167844772,0.0557136627229213,M-III → eICU,AKI progression
external,MIMIC-III,eICU,demographic,next_aki_stage2plus,18776,0.441947166595654,0.5185837904998162,0.4555077626263224,0.2735918164253235,0.1647955297814261,M-III → eICU,AKI stage 2+
external,MIMIC-III,eICU,demographic,next_aki_stage3,18776,0.1572219855134214,0.5252823401590943,0.1685781214008407,0.1371479034423828,0.0682692909696582,M-III → eICU,AKI stage 3
external,MIMIC-III,eICU,demographic,hospital_death,18776,0.1245739241585002,0.5808079629730347,0.1550250822286637,0.1083967462182045,0.0154870199583213,M-III → eICU,Hospital death
external,MIMIC-III,eICU,demographic,icu_death,18774,0.077500798977309,0.5081434905827162,0.07956774328653,0.0741857290267944,0.0430766490704877,M-III → eICU,ICU death
external,MIMIC-III,eICU,xgboost,next_aki_progression,18776,0.1082765232211333,0.5186127956977211,0.1118623608592936,0.2536942971700535,0.3960161127664329,M-III → eICU,AKI progression
external,MIMIC-III,eICU,xgboost,next_aki_stage2plus,18776,0.441947166595654,0.5263777492728742,0.4635775371324575,0.2500319070176062,0.0615807867775229,M-III → eICU,AKI stage 2+
external,MIMIC-III,eICU,xgboost,next_aki_stage3,18776,0.1572219855134214,0.5507752451766177,0.1780452688542701,0.2202218353527914,0.2832103735796272,M-III → eICU,AKI stage 3
external,MIMIC-III,eICU,xgboost,hospital_death,18776,0.1245739241585002,0.584533499238142,0.152956583915431,0.231508063915464,0.3441008039526752,M-III → eICU,Hospital death
external,MIMIC-III,eICU,xgboost,icu_death,18774,0.077500798977309,0.5560851965413905,0.0896340680353298,0.2329526385688388,0.3950187799724081,M-III → eICU,ICU death
external,MIMIC-III,eICU,random_transformer,next_aki_progression,18776,0.1082765232211333,0.5277825101615026,0.117383110489214,0.1005308479070663,0.0629009108738057,M-III → eICU,AKI progression
external,MIMIC-III,eICU,random_transformer,next_aki_stage2plus,18776,0.441947166595654,0.5195129199303423,0.4566133960743846,0.2732807099819183,0.1634406929872977,M-III → eICU,AKI stage 2+
external,MIMIC-III,eICU,random_transformer,next_aki_stage3,18776,0.1572219855134214,0.5536733698906124,0.1803468670040695,0.1477736979722976,0.1251097688722036,M-III → eICU,AKI stage 3
external,MIMIC-III,eICU,random_transformer,hospital_death,18776,0.1245739241585002,0.5872204137616613,0.159718104047554,0.1085842698812484,0.0208460150733367,M-III → eICU,Hospital death
external,MIMIC-III,eICU,random_transformer,icu_death,18774,0.077500798977309,0.5608047614313898,0.0931696333668527,0.0717226713895797,0.0136304788483532,M-III → eICU,ICU death
external,MIMIC-III,eICU,semantic_transformer,next_aki_progression,18776,0.1082765232211333,0.4953042169666665,0.1085231288595059,0.0996283739805221,0.0504637308379863,M-III → eICU,AKI progression
external,MIMIC-III,eICU,semantic_transformer,next_aki_stage2plus,18776,0.441947166595654,0.521208843227677,0.4755523715536603,0.2819472849369049,0.1867463507788342,M-III → eICU,AKI stage 2+
external,MIMIC-III,eICU,semantic_transformer,next_aki_stage3,18776,0.1572219855134214,0.5816480759047352,0.2502014805385534,0.1420710384845733,0.1127879011919336,M-III → eICU,AKI stage 3
external,MIMIC-III,eICU,semantic_transformer,hospital_death,18776,0.1245739241585002,0.632548679850668,0.2095761306386272,0.1189884692430496,0.0587970181961528,M-III → eICU,Hospital death
external,MIMIC-III,eICU,semantic_transformer,icu_death,18774,0.077500798977309,0.6204510311758593,0.1412678030200153,0.0791882053017616,0.0433588588684305,M-III → eICU,ICU death
external,MIMIC-IV,MIMIC-III,demographic,next_aki_progression,20108,0.1643624428088323,0.5213111663386238,0.1704099189092155,0.1378001421689987,0.0232784485002386,M-IV → M-III,AKI progression
external,MIMIC-IV,MIMIC-III,demographic,next_aki_stage2plus,20108,0.2760592798886015,0.5318378580912408,0.2957894329734188,0.199488952755928,0.0115912821620364,M-IV → M-III,AKI stage 2+
external,MIMIC-IV,MIMIC-III,demographic,next_aki_stage3,20108,0.0404316689874676,0.5849451148048667,0.0506544162621837,0.0388085730373859,0.0093143526409121,M-IV → M-III,AKI stage 3
external,MIMIC-IV,MIMIC-III,demographic,hospital_death,20108,0.1341257211060274,0.6206052277053189,0.1929194063481614,0.1144049391150474,0.0082425728739671,M-IV → M-III,Hospital death
external,MIMIC-IV,MIMIC-III,demographic,icu_death,20108,0.0956335786751541,0.5382723299033694,0.101347817475071,0.086445614695549,0.0130254641010014,M-IV → M-III,ICU death
external,MIMIC-IV,MIMIC-III,xgboost,next_aki_progression,20108,0.1643624428088323,0.5398006335407832,0.1780562072328461,0.2483152907369847,0.3318238345734677,M-IV → M-III,AKI progression
external,MIMIC-IV,MIMIC-III,xgboost,next_aki_stage2plus,20108,0.2760592798886015,0.5475018305283053,0.324389328940398,0.2556468603458083,0.2398533513637969,M-IV → M-III,AKI stage 2+
external,MIMIC-IV,MIMIC-III,xgboost,next_aki_stage3,20108,0.0404316689874676,0.694338022934518,0.2268182833414531,0.1632949645346358,0.3550953498524796,M-IV → M-III,AKI stage 3
external,MIMIC-IV,MIMIC-III,xgboost,hospital_death,20108,0.1341257211060274,0.6482686129556349,0.2498742261615491,0.1943715273795815,0.2812686525992026,M-IV → M-III,Hospital death
external,MIMIC-IV,MIMIC-III,xgboost,icu_death,20108,0.0956335786751541,0.6324226320716287,0.1817676991319078,0.1850129215695022,0.309941938548416,M-IV → M-III,ICU death
external,MIMIC-IV,MIMIC-III,random_transformer,next_aki_progression,20108,0.1643624428088323,0.5357789739837359,0.1754406722996166,0.1372732818126678,0.0055669423941947,M-IV → M-III,AKI progression
external,MIMIC-IV,MIMIC-III,random_transformer,next_aki_stage2plus,20108,0.2760592798886015,0.5471086043251764,0.3285119859283606,0.1999372392892837,0.0521168020849012,M-IV → M-III,AKI stage 2+
external,MIMIC-IV,MIMIC-III,random_transformer,next_aki_stage3,20108,0.0404316689874676,0.6836277999991713,0.2324916347331017,0.0347200855612754,0.0115291186412364,M-IV → M-III,AKI stage 3
external,MIMIC-IV,MIMIC-III,random_transformer,hospital_death,20108,0.1341257211060274,0.6419324854128098,0.2276946630377426,0.1158361807465553,0.0544171928877749,M-IV → M-III,Hospital death
external,MIMIC-IV,MIMIC-III,random_transformer,icu_death,20108,0.0956335786751541,0.6288191896111368,0.1650707296175373,0.0875317528843879,0.0485828409465342,M-IV → M-III,ICU death
external,MIMIC-IV,MIMIC-III,semantic_transformer,next_aki_progression,20108,0.1643624428088323,0.5383499524569806,0.1780083011106006,0.1391992717981338,0.0485533982213725,M-IV → M-III,AKI progression
external,MIMIC-IV,MIMIC-III,semantic_transformer,next_aki_stage2plus,20108,0.2760592798886015,0.5323067099537662,0.3125657351528936,0.198343425989151,0.0298717578093817,M-IV → M-III,AKI stage 2+
external,MIMIC-IV,MIMIC-III,semantic_transformer,next_aki_stage3,20108,0.0404316689874676,0.6772603268919448,0.2112163346846482,0.0351784117519855,0.0049575886964984,M-IV → M-III,AKI stage 3
external,MIMIC-IV,MIMIC-III,semantic_transformer,hospital_death,20108,0.1341257211060274,0.651833860629663,0.2433586637773544,0.1154070049524307,0.0620620795885949,M-IV → M-III,Hospital death
external,MIMIC-IV,MIMIC-III,semantic_transformer,icu_death,20108,0.0956335786751541,0.6350828451614832,0.1773946063560458,0.086281344294548,0.0477367224359245,M-IV → M-III,ICU death
external,MIMIC-IV,eICU,demographic,next_aki_progression,18776,0.1082765232211333,0.5030827721969924,0.1098600665318141,0.0988770201802253,0.0387091177881151,M-IV → eICU,AKI progression
external,MIMIC-IV,eICU,demographic,next_aki_stage2plus,18776,0.441947166595654,0.5206590565106952,0.4583869228642331,0.2688149213790893,0.150084791613745,M-IV → eICU,AKI stage 2+
external,MIMIC-IV,eICU,demographic,next_aki_stage3,18776,0.1572219855134214,0.5256707162938666,0.1674898059458508,0.141595110297203,0.0949346325342382,M-IV → eICU,AKI stage 3
external,MIMIC-IV,eICU,demographic,hospital_death,18776,0.1245739241585002,0.5867650494875389,0.1575297032670847,0.1080305650830268,0.0042237646061915,M-IV → eICU,Hospital death
