source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,direction,endpoint_label
MIMIC-III,eICU,state_xgboost,next_aki_progression,18776,0.1082765232211333,0.7297779171884652,0.2061127219074955,0.0907106338142189,0.0127576455545524,0.1284095655774739,1.1297093304424506,0.1590746876597404,0.6566650270536154,0.6569312548527743,0.1885859584687102,0.94032657946482,M-III → eICU,AKI progression
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,12432,0.1571750321750321,0.5922459408541911,0.2058510225038949,0.1309175603038815,0.0176758906753683,-0.0351237972657721,1.0499185698208602,0.1713018774986267,0.6704196519959058,0.4681236877266654,0.1903239866337353,0.8839430528023067,M-III → eICU,Stage-2 onset
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,15989,0.0103195947213709,0.6180048717713025,0.0245196357912727,0.0102241497151039,0.0069556758915603,-1.3414785664335191,0.5465693721574351,0.0024542232509702,0.5393939393939394,0.6487613751263903,0.0157605808393837,0.9926513246954168,M-III → eICU,Stage-3 onset
MIMIC-III,eICU,state_xgboost,hospital_death,18776,0.1245739241585002,0.7725505260696762,0.3958270505812997,0.0924171782680853,0.0094416939910294,-0.0904453890230071,0.960800680475427,0.1419249546527863,0.6117999144933732,0.7946705603212265,0.297752808988764,0.9350035790980672,M-III → eICU,Hospital death
MIMIC-III,eICU,state_xgboost,icu_death,18774,0.077500798977309,0.7982527581788985,0.350935381509917,0.0605105826029395,0.0102788110512573,-0.1494845793249091,0.9987075838689874,0.1088939672708511,0.6130584192439863,0.8290316992897974,0.2315079159096807,0.9622679445077408,M-III → eICU,ICU death
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_progression,20108,0.1643624428088323,0.5642266802187456,0.184132689691489,0.1349582274767518,0.0248124394176774,0.5396584620859894,1.2001180311728956,0.1558340229409295,0.994553706505295,0.1336666071534845,0.1842075767765075,0.9920494699646644,M-IV → M-III,AKI progression
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_stage2_onset,17844,0.1842075767765075,0.5,0.1842075767765075,0.1510822044504038,0.0284087841304284,-0.3859694123836129,0.6522209470813803,0.155798792646079,1.0,0.0,0.1842075767765075,0.0,M-IV → M-III,Stage-2 onset
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_stage3_onset,19389,0.0048481097529527,0.4438251558942069,0.0043719171756704,0.0048264483788584,0.001357208696035,-0.1988974455761563,1.0096266742441398,0.0062046574702065,1.0,0.0,0.0048481097529527,0.0,M-IV → M-III,Stage-3 onset
MIMIC-IV,MIMIC-III,kdigo_lookup,hospital_death,20108,0.1341257211060274,0.5078404250382585,0.1359731343076517,0.1161678250547741,0.0061989541799398,-0.9988105830413976,0.4576988320191869,0.1319946198185954,0.9388209121245829,0.0792602377807133,0.1364003663200991,0.8932038834951457,M-IV → M-III,Hospital death
MIMIC-IV,MIMIC-III,kdigo_lookup,icu_death,20108,0.0956335786751541,0.5083238930327079,0.0970935203169032,0.0866421826452806,0.0123184662588445,-1.5182493352417543,0.3080275762185371,0.086540135142237,0.939157566302652,0.0785262579048666,0.0972903086785541,0.9242718446601942,M-IV → M-III,ICU death
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,20108,0.1643624428088323,0.6299773210658749,0.2242134877392561,0.1334305960399832,0.0240241057503103,0.3855578403396215,1.126861496038791,0.1274210247397423,0.8314674735249622,0.3514253407129679,0.2013776930968782,0.9138037759207676,M-IV → M-III,AKI progression
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,17844,0.1842075767765075,0.5768577679145913,0.2249682897092614,0.1494769659822338,0.0262113177597295,0.7136791902748569,1.320519101752266,0.1695516544580459,0.4493459081229084,0.6572782853609948,0.2284256108877203,0.8409210757602391,M-IV → M-III,Stage-2 onset
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,19389,0.0048481097529527,0.7703710034018293,0.0364708024303653,0.0047631292117425,0.0026411047985381,-1.1773926853217962,0.7655668412453255,0.0076052591390907,0.5,0.8454003627882871,0.0155115511551155,0.9971269637508404,M-IV → M-III,Stage-3 onset
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,20108,0.1341257211060274,0.6976654745878862,0.3245291444255423,0.1056142376601725,0.0116904089935027,-0.0699400016536969,0.9227985932524908,0.1122318921983242,0.6366332962550982,0.6416633162942967,0.2158119658119658,0.9193548387096774,M-IV → M-III,Hospital death
