source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,patient_auroc_lo,patient_auroc_hi,hospital_auroc_lo,hospital_auroc_hi
MIMIC-III,eICU,state_xgboost,next_aki_progression,18776,0.1082765232211333,0.7297779171884652,0.2061127219074955,0.0907106338142189,0.0127576455545524,0.1284095655774739,1.1297093304424506,0.1590746876597404,0.6566650270536154,0.6569312548527743,0.1885859584687102,0.94032657946482,0.719877360436072,0.7396640424135111,0.707876829361992,0.7466417167945222
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,12432,0.1571750321750321,0.5922459408541911,0.2058510225038949,0.1309175603038815,0.0176758906753683,-0.0351237972657721,1.0499185698208602,0.1713018774986267,0.6704196519959058,0.4681236877266654,0.1903239866337353,0.8839430528023067,0.5784950044738251,0.6060625803832368,0.5691501599182579,0.6109641333721384
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,15989,0.0103195947213709,0.6180048717713025,0.0245196357912727,0.0102241497151039,0.0069556758915603,-1.3414785664335191,0.5465693721574351,0.0024542232509702,0.5393939393939394,0.6487613751263903,0.0157605808393837,0.9926513246954168,0.5722177182355282,0.6626136356813764,0.5720077463577323,0.664667947501532
MIMIC-III,eICU,state_xgboost,hospital_death,18776,0.1245739241585002,0.7725505260696762,0.3958270505812997,0.0924171782680853,0.0094416939910294,-0.0904453890230071,0.960800680475427,0.1419249546527863,0.6117999144933732,0.7946705603212265,0.297752808988764,0.9350035790980672,0.7628178645409333,0.7832975823293005,0.7603441144218677,0.7833855444996668
MIMIC-III,eICU,state_xgboost,icu_death,18774,0.077500798977309,0.7982527581788985,0.350935381509917,0.0605105826029395,0.0102788110512573,-0.1494845793249091,0.9987075838689874,0.1088939672708511,0.6130584192439863,0.8290316992897974,0.2315079159096807,0.9622679445077408,0.7862858953284926,0.8106489769535413,0.7849154749342209,0.8149594845500844
MIMIC-IV,eICU,kdigo_lookup,next_aki_progression,18776,0.1082765232211333,0.6708978730831385,0.1560082912935573,0.091863615367969,0.001370833512314,-0.0448077698969947,0.9668662334969206,0.1558340229409295,0.9611411706837186,0.3741862270799737,0.1571750321750321,0.987547288776797,0.6655067467515038,0.6760155313422584,0.6518546954350518,0.6872675846115165
MIMIC-IV,eICU,kdigo_lookup,next_aki_stage2_onset,12432,0.1571750321750321,0.5,0.1571750321750321,0.1324729354710508,0.001376239528953,-0.4356946034165782,0.7362478417589714,0.155798792646079,1.0,0.0,0.1571750321750321,0.0,0.5,0.5,0.5,0.5
MIMIC-IV,eICU,kdigo_lookup,next_aki_stage3_onset,15989,0.0103195947213709,0.3705024205656157,0.0085464504721493,0.0102300325988439,0.0041143788190151,-0.1705389104612649,0.8656743961924918,0.0062046574702065,1.0,0.0,0.0103195947213709,0.0,0.3317648024261922,0.4101567332331957,0.3360273147363896,0.4056569371508931
MIMIC-IV,eICU,kdigo_lookup,hospital_death,18776,0.1245739241585002,0.5384846277037465,0.1336005428478765,0.108963618494519,0.0079873944228329,-0.4265461139168503,0.8102282453820028,0.1319946198185954,0.8909790508764429,0.2008882399464622,0.1369340955384716,0.9283103739105988,0.5288258511933468,0.547727436440917,0.5301581305628199,0.5471325896956226
MIMIC-IV,eICU,kdigo_lookup,icu_death,18774,0.077500798977309,0.5445537140248211,0.0844861376661308,0.0717420513342578,0.0117280083144706,-1.1378454302528234,0.5735482149928487,0.086540135142237,0.9051546391752576,0.1973555055141752,0.0865422525956104,0.9611923509561304,0.5336945622097292,0.5559941358767678,0.5329380738991126,0.5586248975488086
MIMIC-IV,eICU,state_logistic,next_aki_progression,18776,0.1082765232211333,0.7236223320997015,0.2020757375394612,0.0910624947388123,0.0154700856620122,0.414378489272695,1.1557328968068994,0.1274210247397423,0.661091982292179,0.6439706145851998,0.1839835728952772,0.9399354894952489,0.7140552695415793,0.7333774879106961,0.702095368000243,0.7397124866988055
MIMIC-IV,eICU,state_logistic,next_aki_stage2_onset,12432,0.1571750321750321,0.5863131515210599,0.2045354825927952,0.1312559118807554,0.0197950066109229,0.5161593466629646,1.2369437125171563,0.1695516544580459,0.2789150460593654,0.8246802824966597,0.2287993282955499,0.8598009950248756,0.5719042738014224,0.6010170410715707,0.5642135146680197,0.6024282126500171
MIMIC-IV,eICU,state_logistic,next_aki_stage3_onset,15989,0.0103195947213709,0.6753266997579435,0.0322102894895717,0.0101466699325246,0.0048021415036953,-2.009965119908909,0.4623702153794186,0.0076052591390907,0.5333333333333333,0.776036400404449,0.0242290748898678,0.9937687140891802,0.6277254833848891,0.7215509768935964,0.6280454434105206,0.7187842286005027
MIMIC-IV,eICU,state_logistic,hospital_death,18776,0.1245739241585002,0.7329628358298517,0.3474670705642688,0.0964806006409261,0.0148617743721218,0.0538681761614,0.9406764628365646,0.1122318921983242,0.589140658401026,0.748494250775689,0.25,0.9275482509047044,0.7216328751727561,0.7450546402641857,0.7181230395308537,0.7490663398315294
MIMIC-IV,eICU,state_logistic,icu_death,18774,0.077500798977309,0.7683936895478002,0.3164498791910706,0.0621999536707288,0.0076262778419986,-0.0238439617320813,0.932634347875458,0.109758043885231,0.5195876288659794,0.8662162942433166,0.2460136674259681,0.955480542640596,0.754962328030938,0.7830604612672398,0.7459108627219165,0.7911798156071124
MIMIC-IV,eICU,state_xgboost,next_aki_progression,18776,0.1082765232211333,0.7379638785106954,0.2177207316821307,0.0904281061441693,0.0159286895377877,0.399299076198793,1.1366702055833229,0.1400129824876785,0.6045253320216429,0.7133130263393657,0.2038480676729142,0.9369263356083783,0.7283600100803724,0.7473672920558383,0.7160153590888996,0.7541198645963008
MIMIC-IV,eICU,state_xgboost,next_aki_stage2_onset,12432,0.1571750321750321,0.6139110888476572,0.2205427327177253,0.1301651125426056,0.0182817940386863,0.3055911416641043,1.096600919135287,0.1651910364627838,0.4227226202661208,0.7365909524718458,0.2303402119353039,0.8724847388650238,0.6007593335966284,0.6278445725469108,0.5918980464946393,0.6337808025059494
MIMIC-IV,eICU,state_xgboost,next_aki_stage3_onset,15989,0.0103195947213709,0.6126507108496492,0.0239075702949985,0.0101912749472568,0.0046045518117081,-1.7552968220284304,0.5288277021622251,0.0089064088091254,0.3515151515151515,0.8437815975733064,0.0229249011857707,0.9920499294152612,0.5653582995720692,0.6590865348983211,0.5660288312199395,0.6618663787841247
MIMIC-IV,eICU,state_xgboost,hospital_death,18776,0.1245739241585002,0.7759188743588662,0.4004738139614087,0.0921821501480028,0.0084197797922042,0.0360484353304842,0.9764775704362698,0.1194107908010483,0.6421547669944421,0.7613311431526434,0.2768663594470046,0.9373080668114748,0.7665004290492724,0.7860434777746937,0.7650712969983725,0.7869350902802744
MIMIC-IV,eICU,state_xgboost,icu_death,18774,0.077500798977309,0.8046673012120054,0.3720985792776787,0.0596771700301865,0.0059420703670193,-0.0144031270400538,0.988199793687791,0.0636241406202316,0.7168384879725086,0.7363589121773775,0.1859511499376002,0.9687048993543488,0.792894889010555,0.8169600830096218,0.7908294522601805,0.8223666450415631
