evaluation,cluster_unit,source_database,target_database,endpoint,model,n_clusters,auroc_lo,auroc_hi
external,patient,eICU,MIMIC-IV,hospital_death,random_transformer,25122,0.546812633969254,0.5662736156632474
external,patient,eICU,MIMIC-IV,hospital_death,semantic_transformer,25122,0.6442108365145028,0.6627972048066901
external,patient,eICU,MIMIC-IV,icu_death,demographic,25122,0.46226139053827237,0.4824034880900053
external,patient,eICU,MIMIC-IV,icu_death,xgboost,25122,0.569296824842792,0.5892192022691293
external,patient,eICU,MIMIC-IV,icu_death,random_transformer,25122,0.5164301154663131,0.5413524596492936
external,patient,eICU,MIMIC-IV,icu_death,semantic_transformer,25122,0.6508921836406322,0.6738479435367809
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_progression,demographic,17355,0.5144031194838422,0.536250027172912
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_progression,xgboost,17355,0.5198577533393862,0.540326792886256
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_progression,random_transformer,17355,0.5199448805924682,0.5407350719149508
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_progression,semantic_transformer,17355,0.5133039708158817,0.5339972058922487
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_stage2plus,demographic,17355,0.5219472556058949,0.5456470062883566
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_stage2plus,xgboost,17355,0.5341761848921927,0.5552636879531945
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_stage2plus,random_transformer,17355,0.5324584004429772,0.5530825773124208
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_stage2plus,semantic_transformer,17355,0.5342439956399632,0.5552605969507572
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_stage3,demographic,17355,0.5790101857697004,0.6186116485810829
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_stage3,xgboost,17355,0.6394823837180054,0.6839446192768386
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_stage3,random_transformer,17355,0.6173608713906236,0.6631693171723847
lodo,patient,MIMIC-IV + eICU,MIMIC-III,next_aki_stage3,semantic_transformer,17355,0.6207051693283733,0.6637381709964936
lodo,patient,MIMIC-IV + eICU,MIMIC-III,hospital_death,demographic,17355,0.608742261544515,0.6320411541925499
lodo,patient,MIMIC-IV + eICU,MIMIC-III,hospital_death,xgboost,17355,0.6374322307466004,0.6604723684986958
lodo,patient,MIMIC-IV + eICU,MIMIC-III,hospital_death,random_transformer,17355,0.635490422975756,0.6574755249899076
lodo,patient,MIMIC-IV + eICU,MIMIC-III,hospital_death,semantic_transformer,17355,0.6399590761276884,0.6613490762049974
lodo,patient,MIMIC-IV + eICU,MIMIC-III,icu_death,demographic,17355,0.5218075215636875,0.5460557179728049
lodo,patient,MIMIC-IV + eICU,MIMIC-III,icu_death,xgboost,17355,0.6170104950529391,0.6443360484072249
lodo,patient,MIMIC-IV + eICU,MIMIC-III,icu_death,random_transformer,17355,0.6138820113253285,0.6425163371125381
lodo,patient,MIMIC-IV + eICU,MIMIC-III,icu_death,semantic_transformer,17355,0.6190372967553933,0.6454317570461803
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_progression,demographic,25122,0.5163424173307857,0.532422556194965
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_progression,xgboost,25122,0.538456610619012,0.5554550289150467
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_progression,random_transformer,25122,0.5167321924704473,0.5340143458435371
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_progression,semantic_transformer,25122,0.538403235618249,0.5551995954083013
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_stage2plus,demographic,25122,0.5143575820112842,0.5279764508817635
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_stage2plus,xgboost,25122,0.5563464734274652,0.5708367681496073
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_stage2plus,random_transformer,25122,0.5447730611494466,0.559192878492858
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_stage2plus,semantic_transformer,25122,0.5451605263978353,0.5601449259621667
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_stage3,demographic,25122,0.5683975348590365,0.6073383378315071
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_stage3,xgboost,25122,0.6266718314119895,0.6645055892300321
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_stage3,random_transformer,25122,0.5763808844250293,0.6176356650005475
lodo,patient,MIMIC-III + eICU,MIMIC-IV,next_aki_stage3,semantic_transformer,25122,0.6861982671366995,0.7196287902743135
lodo,patient,MIMIC-III + eICU,MIMIC-IV,hospital_death,demographic,25122,0.5898369020833732,0.6096842217809418
lodo,patient,MIMIC-III + eICU,MIMIC-IV,hospital_death,xgboost,25122,0.6553064216211354,0.6740224147153229
lodo,patient,MIMIC-III + eICU,MIMIC-IV,hospital_death,random_transformer,25122,0.6108502893782113,0.6324002985825686
lodo,patient,MIMIC-III + eICU,MIMIC-IV,hospital_death,semantic_transformer,25122,0.6705872579950768,0.6894157551213421
lodo,patient,MIMIC-III + eICU,MIMIC-IV,icu_death,demographic,25122,0.5666018641731291,0.5902861398991999
lodo,patient,MIMIC-III + eICU,MIMIC-IV,icu_death,xgboost,25122,0.6515851337628371,0.6738170801154284
lodo,patient,MIMIC-III + eICU,MIMIC-IV,icu_death,random_transformer,25122,0.5948029706421326,0.6221055791931254
lodo,patient,MIMIC-III + eICU,MIMIC-IV,icu_death,semantic_transformer,25122,0.6730438951795812,0.6969673788502542
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,demographic,17491,0.49483908337324833,0.5204021874464434
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,xgboost,17491,0.5129084819654447,0.5377238332408083
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,random_transformer,17491,0.520352748470856,0.5458938418316079
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,semantic_transformer,17491,0.5001965700773592,0.5262117902211187
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,demographic,17491,0.5190646220212808,0.5343704255339653
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,xgboost,17491,0.5202599897696526,0.5368246579057057
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,random_transformer,17491,0.5136870904299036,0.5294675062920541
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,17491,0.5170033776179099,0.5341148522647777
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,demographic,17491,0.5319930754438938,0.5538911043404857
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,xgboost,17491,0.5432190521315018,0.566114488763299
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,random_transformer,17491,0.5389717176374426,0.5605648083492151
lodo,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,semantic_transformer,17491,0.5607524064135008,0.5864286561245269
lodo,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,demographic,17491,0.5782738056633395,0.6014114623470197
lodo,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,xgboost,17491,0.5761000766069925,0.6001392056131044
lodo,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,random_transformer,17491,0.5759786003808249,0.5987702246607742
lodo,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,semantic_transformer,17491,0.6353544985021433,0.6604045062775268
lodo,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,demographic,17491,0.5422645922678923,0.5744615874516963
lodo,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,xgboost,17491,0.5426802846310462,0.5739787418395892
lodo,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,random_transformer,17491,0.5402802502902797,0.5709465856525914
lodo,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,semantic_transformer,17491,0.6295992159899366,0.6607333263513375
