evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin
external,MIMIC-IV,eICU,semantic_transformer,hospital_death,18776,0.12457392415850022,0.6611127675408167,0.23981178567329325,0.10462643951177597,0.017636272735047726
external,MIMIC-IV,eICU,semantic_transformer,icu_death,18774,0.07750079897730905,0.6621519698386592,0.1749175161745453,0.06930547207593918,0.011947844706493991
external,eICU,MIMIC-III,demographic,next_aki_progression,20108,0.1643624428088323,0.49675975482729784,0.1636967281101028,0.13948680460453033,0.021489630488673993
external,eICU,MIMIC-III,demographic,next_aki_stage2plus,20108,0.27605927988860157,0.5331301707930833,0.29617791006245275,0.22577959299087524,0.16259169957380254
external,eICU,MIMIC-III,demographic,next_aki_stage3,20108,0.040431668987467674,0.5908879962082855,0.05230870386171353,0.05345356836915016,0.12012395624316648
external,eICU,MIMIC-III,demographic,hospital_death,20108,0.13412572110602744,0.5414877148292517,0.1446100456910906,0.11575351655483246,0.0036539825115605652
external,eICU,MIMIC-III,demographic,icu_death,20108,0.09563357867515417,0.48722092848520104,0.09387671546041002,0.08840575069189072,0.042489333591817245
external,eICU,MIMIC-III,xgboost,next_aki_progression,20108,0.1643624428088323,0.5199069253446295,0.1694464387261741,0.24981874416584068,0.33487031518855725
external,eICU,MIMIC-III,xgboost,next_aki_stage2plus,20108,0.27605927988860157,0.5300265548655991,0.2904074976034272,0.24741199326915858,0.21896004776268613
external,eICU,MIMIC-III,xgboost,next_aki_stage3,20108,0.040431668987467674,0.6156480896241976,0.05570097755207243,0.2007780650284829,0.4019793231497471
external,eICU,MIMIC-III,xgboost,hospital_death,20108,0.13412572110602744,0.6223707509606514,0.19214593459218327,0.20996181492784813,0.30763952901817726
external,eICU,MIMIC-III,xgboost,icu_death,20108,0.09563357867515417,0.5985155743870667,0.12679535129546166,0.19288720835535816,0.32607271632108115
external,eICU,MIMIC-III,random_transformer,next_aki_progression,20108,0.1643624428088323,0.5230620423573594,0.17312749937887373,0.14374478161334991,0.07760438105780262
external,eICU,MIMIC-III,random_transformer,next_aki_stage2plus,20108,0.27605927988860157,0.5244589668426096,0.28691481097215954,0.21696585416793823,0.12181638350022203
external,eICU,MIMIC-III,random_transformer,next_aki_stage3,20108,0.040431668987467674,0.601166328325631,0.05512955393713374,0.0461074635386467,0.0842064798266579
external,eICU,MIMIC-III,random_transformer,hospital_death,20108,0.13412572110602744,0.6148919297542178,0.18606684826702474,0.11926701664924622,0.057404634391773
external,eICU,MIMIC-III,random_transformer,icu_death,20108,0.09563357867515417,0.5986486608213297,0.12960896083093915,0.08913330733776093,0.04871062482706276
external,eICU,MIMIC-III,semantic_transformer,next_aki_progression,20108,0.1643624428088323,0.5180498349522089,0.16709701351917516,0.1395329236984253,0.04543513134388676
external,eICU,MIMIC-III,semantic_transformer,next_aki_stage2plus,20108,0.27605927988860157,0.5205022325904961,0.3004972566926029,0.23616451025009155,0.18350152696533045
external,eICU,MIMIC-III,semantic_transformer,next_aki_stage3,20108,0.040431668987467674,0.6257906390932269,0.16315023337300483,0.05310637876391411,0.0980071100877475
external,eICU,MIMIC-III,semantic_transformer,hospital_death,20108,0.13412572110602744,0.6409374679430643,0.21789539046754236,0.11560835689306259,0.050812836379251505
external,eICU,MIMIC-III,semantic_transformer,icu_death,20108,0.09563357867515417,0.6209229947421707,0.1532350987033948,0.0878947526216507,0.05234715934977697
external,eICU,MIMIC-IV,demographic,next_aki_progression,29267,0.14128540677213244,0.5141965488724973,0.14586837607200995,0.12204667180776596,0.024535283803986653
external,eICU,MIMIC-IV,demographic,next_aki_stage2plus,29267,0.2857484538900468,0.5213017490111781,0.29880959067844337,0.22796191275119781,0.15499107458750558
external,eICU,MIMIC-IV,demographic,next_aki_stage3,29267,0.04503365565312468,0.5699279459318678,0.05666665477878139,0.057098280638456345,0.11635633505872943
external,eICU,MIMIC-IV,demographic,hospital_death,29267,0.12157036935797998,0.5791348311847888,0.15672690577377862,0.10595814883708954,0.009987647592701656
external,eICU,MIMIC-IV,demographic,icu_death,29262,0.0815733716082291,0.47327006556834017,0.07492396986621042,0.07547925412654877,0.01746662341628085
external,eICU,MIMIC-IV,xgboost,next_aki_progression,29267,0.14128540677213244,0.5235421978002098,0.14847653401786243,0.249936963463182,0.35828481113641436
external,eICU,MIMIC-IV,xgboost,next_aki_stage2plus,29267,0.2857484538900468,0.5171036231566712,0.29516052778236634,0.2470867306074165,0.2076508638436571
external,eICU,MIMIC-IV,xgboost,next_aki_stage3,29267,0.04503365565312468,0.5881902360526496,0.05852366717646555,0.2005233557051825,0.3960500336501475
external,eICU,MIMIC-IV,xgboost,hospital_death,29267,0.12157036935797998,0.6062229690977918,0.1679531791990449,0.2128251662588413,0.3247731140319164
external,eICU,MIMIC-IV,xgboost,icu_death,29262,0.0815733716082291,0.5810471293147962,0.10273734083908798,0.19342904356406249,0.3430312240138415
external,eICU,MIMIC-IV,random_transformer,next_aki_progression,29267,0.14128540677213244,0.5014495459138987,0.1376912748886673,0.12931887805461884,0.062381754720419166
external,eICU,MIMIC-IV,random_transformer,next_aki_stage2plus,29267,0.2857484538900468,0.5152560672753561,0.28599223343788627,0.2266749143600464,0.13985533311835288
external,eICU,MIMIC-IV,random_transformer,next_aki_stage3,29267,0.04503365565312468,0.5357777587629668,0.05588727653519909,0.05109233409166336,0.07609060403680917
external,eICU,MIMIC-IV,random_transformer,hospital_death,29267,0.12157036935797998,0.5567922607487954,0.14676489445401403,0.1191483810544014,0.06499763874931949
external,eICU,MIMIC-IV,random_transformer,icu_death,29262,0.0815733716082291,0.529884954355472,0.0955546516792263,0.08693798631429672,0.05314267523381531
external,eICU,MIMIC-IV,semantic_transformer,next_aki_progression,29267,0.14128540677213244,0.524391363540049,0.14864858248765794,0.12399373948574066,0.04306285026244161
external,eICU,MIMIC-IV,semantic_transformer,next_aki_stage2plus,29267,0.2857484538900468,0.4992484790883834,0.29421916274382665,0.26762932538986206,0.18319980311372147
external,eICU,MIMIC-IV,semantic_transformer,next_aki_stage3,29267,0.04503365565312468,0.6788859841231517,0.20952946730083352,0.11989782005548477,0.19454323075029217
external,eICU,MIMIC-IV,semantic_transformer,hospital_death,29267,0.12157036935797998,0.6535770724927945,0.2269713714508466,0.1137067973613739,0.05951308682380174
external,eICU,MIMIC-IV,semantic_transformer,icu_death,29262,0.0815733716082291,0.6619988113911595,0.1740991633698546,0.07973125576972961,0.04217459311984175
