evaluation,source_database,target_database,endpoint,model,auroc_lo,auroc_hi,delta_vs_semantic_lo,delta_vs_semantic_hi
external,eICU,MIMIC-IV,hospital_death,xgboost,0.5959184925664262,0.6167694168949661,0.03722269568959012,0.058138933799888985
external,eICU,MIMIC-IV,hospital_death,random_transformer,0.5454707631219132,0.5684713400728033,0.08527189834947252,0.10863649317516592
external,eICU,MIMIC-IV,hospital_death,semantic_transformer,0.6453251131764155,0.6636413216634607,,
external,eICU,MIMIC-IV,icu_death,demographic,0.4602945088318302,0.48484679055405383,0.17410462347384767,0.2052606191165045
external,eICU,MIMIC-IV,icu_death,xgboost,0.5664400447518306,0.5919426699764807,0.06730376956021007,0.0963167037799553
external,eICU,MIMIC-IV,icu_death,random_transformer,0.5171106017578164,0.5421196917744099,0.1137498805630003,0.14634733447827972
external,eICU,MIMIC-IV,icu_death,semantic_transformer,0.6489866245019937,0.6715417942285925,,
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_progression,demographic,0.5148973220899641,0.5364879318161134,-0.013067505682753017,0.00869520493637379
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_progression,xgboost,0.5204670283302009,0.5406458809597522,-0.015145613658190121,0.0011082525559923922
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_progression,random_transformer,0.518435902976393,0.5409336020184399,-0.013071422836840638,0.0015819801621329097
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_progression,semantic_transformer,0.5111949317958911,0.5352711264623017,,
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_stage2plus,demographic,0.5230711845116026,0.541414104803298,0.004911516566718663,0.01812029058104927
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_stage2plus,xgboost,0.5345992108461022,0.5527088179850407,-0.002716418287062888,0.00375250403350606
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_stage2plus,random_transformer,0.5333384008213201,0.5518013965368994,-0.0015056292664640952,0.004815004227682973
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_stage2plus,semantic_transformer,0.5332229285708412,0.5537246805189106,,
