evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin
lodo,MIMIC-III + MIMIC-IV,eICU,demographic,next_aki_stage2plus,18776,0.44194716659565403,0.5269573819488236,0.46284608563477103,0.27251681685447693,0.16244159441109562
lodo,MIMIC-III + MIMIC-IV,eICU,demographic,next_aki_stage3,18776,0.1572219855134214,0.543800979987176,0.1736551807279341,0.14412946999073029,0.10977991809889923
lodo,MIMIC-III + MIMIC-IV,eICU,demographic,hospital_death,18776,0.12457392415850022,0.5889069808641143,0.15734538311844506,0.10806354135274887,0.004709863536056678
lodo,MIMIC-III + MIMIC-IV,eICU,demographic,icu_death,18774,0.07750079897730905,0.5578362678575007,0.09025884497012485,0.07148023694753647,0.01026253903462659
lodo,MIMIC-III + MIMIC-IV,eICU,xgboost,next_aki_progression,18776,0.10827652322113336,0.525889493018189,0.11447876585276598,0.25840721030890984,0.40194674435102995
lodo,MIMIC-III + MIMIC-IV,eICU,xgboost,next_aki_stage2plus,18776,0.44194716659565403,0.5289418851908423,0.46382190317016664,0.2514607334847366,0.07316099487889509
lodo,MIMIC-III + MIMIC-IV,eICU,xgboost,next_aki_stage3,18776,0.1572219855134214,0.554580954524156,0.17798544697741592,0.20905301568029291,0.27337976542555836
lodo,MIMIC-III + MIMIC-IV,eICU,xgboost,hospital_death,18776,0.12457392415850022,0.5873873485826653,0.1559689667137604,0.2113792400812904,0.3151729096720828
lodo,MIMIC-III + MIMIC-IV,eICU,xgboost,icu_death,18774,0.07750079897730905,0.5581977285340435,0.09044150335895473,0.207903660893237,0.3629907651254643
lodo,MIMIC-III + MIMIC-IV,eICU,random_transformer,next_aki_progression,18776,0.10827652322113336,0.5337117928074367,0.1241425340329361,0.0992957204580307,0.05358736378207808
lodo,MIMIC-III + MIMIC-IV,eICU,random_transformer,next_aki_stage2plus,18776,0.44194716659565403,0.5222137606915815,0.4612614428018769,0.2641582190990448,0.13341096382307208
lodo,MIMIC-III + MIMIC-IV,eICU,random_transformer,next_aki_stage3,18776,0.1572219855134214,0.5500548804464284,0.17868782190775212,0.14805306494235992,0.12553103904576726
lodo,MIMIC-III + MIMIC-IV,eICU,random_transformer,hospital_death,18776,0.12457392415850022,0.5861620761281567,0.1561092699639319,0.10852153599262238,0.02115017938668494
lodo,MIMIC-III + MIMIC-IV,eICU,random_transformer,icu_death,18774,0.07750079897730905,0.5547028083690935,0.09012764525731336,0.0715034157037735,0.013556168575478368
lodo,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,next_aki_progression,18776,0.10827652322113336,0.5137190457669443,0.11752773709046993,0.09913836419582367,0.04689610953862186
lodo,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,next_aki_stage2plus,18776,0.44194716659565403,0.5251836866381793,0.4831492063516267,0.2767581045627594,0.1750799172502734
lodo,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,next_aki_stage3,18776,0.1572219855134214,0.5732349223059344,0.2678076756082264,0.13628441095352173,0.09852179657655175
lodo,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,hospital_death,18776,0.12457392415850022,0.6485974808968482,0.2309544984129154,0.11270963400602341,0.039213576213614224
lodo,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,icu_death,18774,0.07750079897730905,0.6455929159501245,0.16800936895114965,0.07439695298671722,0.02525321652876044
